Provider,PotentialFraud,IP_TotalClaims,IP_AvgClaimAmt,IP_TotalClaimAmt,IP_AvgClaimDuration,IP_MaxClaimDuration,IP_UniquePatients,IP_UniqueAdmittingDoctors,IP_AvgDeductible,OP_TotalClaims,OP_AvgClaimAmt,OP_TotalClaimAmt,OP_UniquePatients,OP_AvgDeductible,Bene_AvgAge,Bene_AvgChronicCond,Bene_AvgIPReimbursement,Bene_AvgOPReimbursement,IP_ClaimPerPatient,OP_ClaimPerPatient,IP_OP_ClaimRatio,AvgClaimAmtRatio,FraudProbability,RiskScore
PRV51001,0,5.0,19400.0,97000.0,5.0,14.0,5.0,4.0,1068.0,20.0,382.0,7640.0,19.0,0.0,78.61972602739726,6.0,77902.0,1350.0,1.0,1.0526315789473684,0.25,50.78534031413613,0.06628379,6.6
PRV51003,1,62.0,9241.935483870968,573000.0,5.161290322580645,27.0,53.0,2.0,1068.0,70.0,466.7142857142857,32670.0,66.0,1.0,70.9399911621741,4.919354838709677,12696.612903225807,2217.7419354838707,1.169811320754717,1.0606060606060606,0.8857142857142857,19.802126840250008,0.99145657,99.1
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,350.13422818791946,52170.0,138.0,2.0805369127516777,0.0,0.0,0.0,0.0,0.0,1.0797101449275361,0.0,0.0,0.0040337476,0.4
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,241.1244635193133,280910.0,495.0,3.1759656652360513,0.0,0.0,0.0,0.0,0.0,2.3535353535353534,0.0,0.0,0.28857008,28.9
PRV51007,0,3.0,6333.333333333333,19000.0,5.333333333333333,7.0,3.0,2.0,1068.0,69.0,213.18840579710144,14710.0,56.0,0.8695652173913043,78.88675799086758,5.666666666666667,11710.0,2413.3333333333335,1.0,1.2321428571428572,0.043478260869565216,29.707681849082256,0.06306297,6.3
PRV51008,0,2.0,12500.0,25000.0,4.0,5.0,2.0,2.0,1068.0,41.0,259.2682926829268,10630.0,34.0,4.390243902439025,51.66027397260274,3.5,18750.0,320.0,1.0,1.2058823529411764,0.04878048780487805,48.21260583254939,0.037281893,3.7
PRV51011,0,1.0,5000.0,5000.0,5.0,5.0,1.0,1.0,1068.0,57.0,204.03508771929825,11630.0,52.0,5.2631578947368425,97.9013698630137,7.0,5000.0,590.0,1.0,1.0961538461538463,0.017543859649122806,24.505588993981082,0.008158663,0.8
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,351.875,16890.0,31.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,1.5483870967741935,0.0,0.0,0.26126498,26.1
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,323.4782608695652,14880.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0454545454545454,0.0,0.0,0.068736754,6.9
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,349.3333333333333,10480.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.27659953,27.7
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87.5,700.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.01076954,1.1
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.333333333333332,170.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0026141864,0.3
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,277.126213592233,142720.0,420.0,2.0388349514563107,0.0,0.0,0.0,0.0,0.0,1.2261904761904763,0.0,0.0,0.055720184,5.6
PRV51021,1,29.0,9275.862068965518,269000.0,4.758620689655173,17.0,23.0,7.0,1068.0,228.0,350.13157894736844,79830.0,187.0,2.280701754385965,71.04506376948513,6.0344827586206895,17844.48275862069,3881.0344827586205,1.2608695652173914,1.2192513368983957,0.12719298245614036,26.492503466417862,0.9856309,98.6
PRV51023,0,9.0,6000.0,54000.0,3.5555555555555554,10.0,9.0,4.0,949.3333333333334,27.0,430.0,11610.0,27.0,2.962962962962963,73.87488584474886,5.0,11666.666666666666,913.3333333333334,1.0,1.0,0.3333333333333333,13.953488372093023,0.034723997,3.5
PRV51024,0,9.0,6777.777777777777,61000.0,4.333333333333333,10.0,9.0,1.0,1068.0,30.0,101.66666666666667,3050.0,29.0,3.0,69.82526636225265,5.666666666666667,9423.333333333334,3208.8888888888887,1.0,1.0344827586206897,0.3,66.66666666666666,0.011626647,1.2
PRV51025,0,13.0,6615.384615384615,86000.0,7.0,28.0,12.0,2.0,1068.0,74.0,437.1621621621622,32350.0,66.0,5.405405405405405,70.4263435194942,4.769230769230769,10149.23076923077,1881.5384615384614,1.0833333333333333,1.121212121212121,0.17567567567567569,15.132564498870526,0.09317882,9.3
PRV51026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,261.05263157894734,19840.0,56.0,4.473684210526316,0.0,0.0,0.0,0.0,0.0,1.3571428571428572,0.0,0.0,0.040809732,4.1
